t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
26,Warehouse,92,0,0,32,0,0,after_shipments
26,R1,52,0,0,9,0,0,after_shipments
26,R2,39,0,0,14,0,0,after_shipments
26,Warehouse,92,0,0,32,16,0,after_ordering
26,R1,52,0,0,9,9,0,after_ordering
26,R2,39,0,0,14,7,0,after_ordering
26,Supplier,0,0,0,0,0,0,EOD
26,Warehouse,92,0,0,32,16,16,EOD
26,R1,52,0,0,9,9,9,EOD
26,R2,39,0,0,14,7,7,EOD
27,Supplier,0,0,0,0,0,0,after_arrivals
27,Warehouse,108,0,0,16,0,16,after_arrivals
27,R1,61,0,0,0,0,9,after_arrivals
27,R2,46,0,0,7,0,7,after_arrivals
27,R1,52,0,0,0,0,0,after_demand
27,R2,39,0,0,7,0,0,after_demand
27,Supplier,0,0,0,0,0,0,after_shipments
27,Warehouse,92,0,0,32,0,0,after_shipments
27,R1,52,0,0,9,0,0,after_shipments
27,R2,39,0,0,14,0,0,after_shipments
27,Warehouse,92,0,0,32,16,0,after_ordering
27,R1,52,0,0,9,9,0,after_ordering
27,R2,39,0,0,14,7,0,after_ordering
27,Supplier,0,0,0,0,0,0,EOD
27,Warehouse,92,0,0,32,16,16,EOD
27,R1,52,0,0,9,9,9,EOD
27,R2,39,0,0,14,7,7,EOD
28,Supplier,0,0,0,0,0,0,after_arrivals
28,Warehouse,108,0,0,16,0,16,after_arrivals
28,R1,61,0,0,0,0,9,after_arrivals
28,R2,46,0,0,7,0,7,after_arrivals
28,R1,52,0,0,0,0,0,after_demand
28,R2,39,0,0,7,0,0,after_demand
28,Supplier,0,0,0,0,0,0,after_shipments
28,Warehouse,92,0,0,32,0,0,after_shipments
28,R1,52,0,0,9,0,0,after_shipments
28,R2,39,0,0,14,0,0,after_shipments
28,Warehouse,92,0,0,32,16,0,after_ordering
28,R1,52,0,0,9,9,0,after_ordering
28,R2,39,0,0,14,7,0,after_ordering
28,Supplier,0,0,0,0,0,0,EOD
28,Warehouse,92,0,0,32,16,16,EOD
28,R1,52,0,0,9,9,9,EOD
28,R2,39,0,0,14,7,7,EOD
29,Supplier,0,0,0,0,0,0,after_arrivals
29,Warehouse,108,0,0,16,0,16,after_arrivals
29,R1,61,0,0,0,0,9,after_arrivals
29,R2,46,0,0,7,0,7,after_arrivals
29,R1,52,0,0,0,0,0,after_demand
29,R2,39,0,0,7,0,0,after_demand
29,Supplier,0,0,0,0,0,0,after_shipments
29,Warehouse,92,0,0,32,0,0,after_shipments
29,R1,52,0,0,9,0,0,after_shipments
29,R2,39,0,0,14,0,0,after_shipments
29,Warehouse,92,0,0,32,16,0,after_ordering
29,R1,52,0,0,9,9,0,after_ordering
29,R2,39,0,0,14,7,0,after_ordering
29,Supplier,0,0,0,0,0,0,EOD
29,Warehouse,92,0,0,32,16,16,EOD
29,R1,52,0,0,9,9,9,EOD
29,R2,39,0,0,14,7,7,EOD
