t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
21,R1,95.0,0.0,0.0,289.0,204.0,259.0,EOD,204,204.0,2.85,0.0,0.0,0.0,2.85
21,R2,0.0,36.0,0.0,253.0,100.0,0.0,EOD,100,64.0,0.0,18.0,0.0,0.0,18.0
21,R3,0.0,27.0,0.0,1080.0,304.0,0.0,EOD,304,277.0,0.0,13.5,0.0,0.0,13.5
22,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
22,W1,148.0,0.0,204.0,1488.0,304.0,0.0,EOD,0,0.0,2.96,0.0,18.04,380.0,401.0
22,W2,90.0,0.0,304.0,1759.0,304.0,0.0,EOD,0,0.0,1.8,0.0,18.04,0.0,19.84
22,R1,0.0,89.0,0.0,289.0,184.0,0.0,EOD,184,95.0,0.0,44.5,0.0,0.0,44.5
22,R2,109.0,0.0,0.0,264.0,108.0,253.0,EOD,108,108.0,3.27,0.0,0.0,0.0,3.27
22,R3,164.0,0.0,0.0,617.0,272.0,463.0,EOD,272,272.0,4.92,0.0,0.0,0.0,4.92
23,Supplier,0.0,0.0,608.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
23,W1,376.0,0.0,108.0,872.0,292.0,616.0,EOD,0,0.0,7.5200000000000005,0.0,17.92,350.0,375.44
23,W2,193.0,0.0,0.0,1080.0,272.0,679.0,EOD,0,0.0,3.86,0.0,17.72,600.0,621.58
23,R1,83.0,0.0,0.0,388.0,117.0,289.0,EOD,117,117.0,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
23,R2,20.0,0.0,0.0,264.0,89.0,0.0,EOD,89,89.0,0.6,0.0,0.0,0.0,0.6
23,R3,0.0,8.0,0.0,1193.0,172.0,0.0,EOD,172,164.0,0.0,4.0,0.0,0.0,4.0
24,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
24,W1,376.0,0.0,314.0,1468.0,206.0,0.0,EOD,0,0.0,7.5200000000000005,0.0,17.06,0.0,24.58
